,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,topic,location
93,18-24,2.0,ALL,Graduated,NOTSELECTED,24000,Majot depressive disorder awareness,East Zone (poor)
94,18-24,2.0,ALL,No Degree,NOTSELECTED,18000,Majot depressive disorder awareness,East Zone (poor)
95,18-24,2.0,ALL,High School,NOTSELECTED,37000,Majot depressive disorder awareness,East Zone (poor)
96,25-44,2.0,ALL,Graduated,NOTSELECTED,69000,Majot depressive disorder awareness,West Zone (rich)
97,25-44,2.0,ALL,No Degree,NOTSELECTED,22000,Majot depressive disorder awareness,West Zone (rich)
98,25-44,2.0,ALL,High School,NOTSELECTED,27000,Majot depressive disorder awareness,West Zone (rich)
99,25-44,2.0,ALL,Graduated,NOTSELECTED,50000,Majot depressive disorder awareness,East Zone (poor)
100,25-44,2.0,ALL,No Degree,NOTSELECTED,17000,Majot depressive disorder awareness,East Zone (poor)
101,25-44,2.0,ALL,High School,NOTSELECTED,23000,Majot depressive disorder awareness,East Zone (poor)
102,45+,2.0,ALL,Graduated,NOTSELECTED,22000,Majot depressive disorder awareness,West Zone (rich)
103,45+,2.0,ALL,No Degree,NOTSELECTED,14000,Majot depressive disorder awareness,West Zone (rich)
104,45+,2.0,ALL,High School,NOTSELECTED,7800,Majot depressive disorder awareness,West Zone (rich)
105,45+,2.0,ALL,Graduated,NOTSELECTED,17000,Majot depressive disorder awareness,East Zone (poor)
106,45+,2.0,ALL,No Degree,NOTSELECTED,15000,Majot depressive disorder awareness,East Zone (poor)
107,45+,2.0,ALL,High School,NOTSELECTED,8400,Majot depressive disorder awareness,East Zone (poor)
108,18-24,1.0,ALL,Graduated,NOTSELECTED,19000,Luxury Goods,West Zone (rich)
109,18-24,1.0,ALL,No Degree,NOTSELECTED,12000,Luxury Goods,West Zone (rich)
110,18-24,1.0,ALL,High School,NOTSELECTED,18000,Luxury Goods,West Zone (rich)
111,18-24,1.0,ALL,Graduated,NOTSELECTED,16000,Luxury Goods,East Zone (poor)
112,18-24,1.0,ALL,No Degree,NOTSELECTED,11000,Luxury Goods,East Zone (poor)
113,18-24,1.0,ALL,High School,NOTSELECTED,15000,Luxury Goods,East Zone (poor)
114,25-44,1.0,ALL,Graduated,NOTSELECTED,48000,Luxury Goods,West Zone (rich)
115,25-44,1.0,ALL,No Degree,NOTSELECTED,21000,Luxury Goods,West Zone (rich)
116,25-44,1.0,ALL,High School,NOTSELECTED,19000,Luxury Goods,West Zone (rich)
117,25-44,1.0,ALL,Graduated,NOTSELECTED,34000,Luxury Goods,East Zone (poor)
118,25-44,1.0,ALL,No Degree,NOTSELECTED,17000,Luxury Goods,East Zone (poor)
119,25-44,1.0,ALL,High School,NOTSELECTED,15000,Luxury Goods,East Zone (poor)
120,45+,1.0,ALL,Graduated,NOTSELECTED,13000,Luxury Goods,West Zone (rich)
121,45+,1.0,ALL,No Degree,NOTSELECTED,9300,Luxury Goods,West Zone (rich)
122,45+,1.0,ALL,High School,NOTSELECTED,4300,Luxury Goods,West Zone (rich)
123,45+,1.0,ALL,Graduated,NOTSELECTED,8500,Luxury Goods,East Zone (poor)
124,45+,1.0,ALL,No Degree,NOTSELECTED,8100,Luxury Goods,East Zone (poor)
125,45+,1.0,ALL,High School,NOTSELECTED,4100,Luxury Goods,East Zone (poor)
126,18-24,2.0,ALL,Graduated,NOTSELECTED,30000,Luxury Goods,West Zone (rich)
127,18-24,2.0,ALL,No Degree,NOTSELECTED,23000,Luxury Goods,West Zone (rich)
128,18-24,2.0,ALL,High School,NOTSELECTED,37000,Luxury Goods,West Zone (rich)
129,18-24,2.0,ALL,Graduated,NOTSELECTED,23000,Luxury Goods,East Zone (poor)
130,18-24,2.0,ALL,No Degree,NOTSELECTED,19000,Luxury Goods,East Zone (poor)
131,18-24,2.0,ALL,High School,NOTSELECTED,29000,Luxury Goods,East Zone (poor)
132,25-44,2.0,ALL,Graduated,NOTSELECTED,100000,Luxury Goods,West Zone (rich)
133,25-44,2.0,ALL,No Degree,NOTSELECTED,45000,Luxury Goods,West Zone (rich)
134,25-44,2.0,ALL,High School,NOTSELECTED,43000,Luxury Goods,West Zone (rich)
135,25-44,2.0,ALL,Graduated,NOTSELECTED,72000,Luxury Goods,East Zone (poor)
136,25-44,2.0,ALL,No Degree,NOTSELECTED,33000,Luxury Goods,East Zone (poor)
137,25-44,2.0,ALL,High School,NOTSELECTED,33000,Luxury Goods,East Zone (poor)
138,45+,2.0,ALL,Graduated,NOTSELECTED,36000,Luxury Goods,West Zone (rich)
139,45+,2.0,ALL,No Degree,NOTSELECTED,28000,Luxury Goods,West Zone (rich)
140,45+,2.0,ALL,High School,NOTSELECTED,14000,Luxury Goods,West Zone (rich)
141,45+,2.0,ALL,Graduated,NOTSELECTED,27000,Luxury Goods,East Zone (poor)
142,45+,2.0,ALL,No Degree,NOTSELECTED,27000,Luxury Goods,East Zone (poor)
143,45+,2.0,ALL,High School,NOTSELECTED,14000,Luxury Goods,East Zone (poor)
